Date,Gold_Close/Last,Gold_Volume,Gold_Open,Gold_High,Gold_Low,Silver_Close/Last,Silver_Volume,Silver_Open,Silver_High,Silver_Low
8/19/13,1365.7,116056,1377.1,1384.1,1362,23.215,8249,23.33,23.64,23.01
8/20/13,1372.6,130096,1364.9,1378,1351.6,23.118,14280,23.2,23.35,22.32
8/21/13,1370.1,137350,1371,1378.9,1359.2,23.009,7326,23.02,23.4,22.81
8/22/13,1370.8,134493,1365.6,1381.4,1354.5,23.08,12238,22.92,23.365,22.5
8/23/13,1395.8,149116,1376.1,1399.9,1367.8,23.781,20102,23.235,24.14,22.935
8/26/13,1393.1,94055,1394.8,1399.8,1388.4,24.055,20288,24.02,24.465,23.95
8/27/13,1420.2,146665,1419,1424,1395.2,24.7,42111,24.4,24.765,24.03
8/28/13,1418.8,153609,1423,1434,1413.2,24.439,59324,24.55,25.16,24.265
8/29/13,1412.9,139596,1418.2,1418.6,1402.1,24.14,N/A,23.97,24.14,24.14
8/30/13,1396.1,121634,1407.5,1411.5,1391.8,23.513,41073,23.895,24.065,23.41
9/2/13,1396.1,N/A,1396.1,1396.1,1396.1,23.513,N/A,23.513,23.513,23.513
9/3/13,1412,196849,1392,1416.4,1373.6,24.429,N/A,24.365,24.429,24.429
9/4/13,1390,129843,1411.6,1415,1384.6,23.415,44700,24.325,24.43,23.375
9/5/13,1373,165984,1391.2,1400,1364.7,23.255,40242,23.51,23.68,23.04
9/6/13,1386.5,152131,1366.7,1393.6,1358.8,23.891,38530,23.875,23.99,23.075
9/9/13,1386.7,75575,1391.1,1395,1381.9,23.717,25161,23.835,24.25,23.44
9/10/13,1364,121521,1387.1,1391.4,1357.6,23.016,39885,23.74,23.82,22.84
9/11/13,1363.8,92599,1364.2,1368.7,1356,23.172,30272,22.985,23.25,22.785
9/12/13,1330.6,171778,1329.8,1366.2,1322.5,22.149,48134,23.22,23.265,21.89
9/13/13,1308.6,157863,1318,1330.8,1304.6,21.72,45290,21.88,22.185,21.42
9/16/13,1317.8,141375,1333.5,1336,1307.2,22.009,39998,22.3,22.49,21.685
9/17/13,1309.4,127411,1313.6,1324.7,1305.8,21.784,33212,21.83,22.14,21.64
9/18/13,1307.6,218792,1294,1358.7,1291.5,21.564,61803,21.77,23,21.225
9/19/13,1369.3,166048,1370.2,1375.4,1358.5,23.292,49716,22.965,23.445,22.855
9/20/13,1332.5,174421,1366.2,1368.4,1327.2,21.927,54853,23.08,23.18,21.755
9/23/13,1327,126973,1327,1332,1313.4,21.857,N/A,21.857,21.857,21.857
9/24/13,1316.3,146828,1321.5,1329.4,1305.5,21.586,N/A,21.586,21.586,21.586
9/25/13,1336.2,130306,1323.5,1338.3,1316.6,21.886,N/A,21.886,21.886,21.886
9/26/13,1324.1,141841,1333.1,1340,1319.2,21.766,35721,21.805,22.13,21.665
9/27/13,1339.2,115244,1323.7,1345.2,1320,21.831,33510,21.73,22.175,21.41
9/30/13,1327,109605,1327.3,1353.8,1322,21.708,N/A,21.71,21.708,21.708
10/1/13,1286.1,193613,1328.2,1337.8,1282.4,21.175,50838,21.7,21.97,20.63
10/2/13,1320.7,163414,1287.5,1324.2,1276.9,21.897,N/A,21.897,21.897,21.897
10/3/13,1317.6,123329,1316.5,1322.8,1302,21.786,N/A,21.786,21.786,21.786
10/4/13,1309.9,101527,1317.4,1326,1305.1,21.752,21638,21.735,21.93,21.5
10/7/13,1325.1,90614,1312.3,1329.5,1307.9,22.386,N/A,22.386,22.386,22.386
10/8/13,1324.6,115161,1319.7,1330.8,1315.4,22.443,30192,22.385,22.525,22.11
10/9/13,1307.2,145546,1304.5,1323.3,1294.6,21.891,37395,22.315,22.41,21.75
10/10/13,1296.9,119769,1307,1312,1290.8,21.896,29620,21.91,22.25,21.715
10/11/13,1268.2,169059,1268,1294.8,1259.6,21.259,45720,21.685,21.86,20.95
10/14/13,1276.6,100090,1275.5,1291.6,1268.4,21.354,26136,21.39,21.68,21.11
10/15/13,1273.2,189308,1273.6,1287.7,1251,21.191,56327,21.29,21.525,20.495
10/16/13,1282.3,144044,1281.4,1289.2,1268.6,21.365,N/A,21.365,21.365,21.365
10/17/13,1323,196447,1314,1324.2,1273.7,21.947,N/A,21.947,21.947,21.947
10/18/13,1314.6,95751,1318.8,1328.9,1311.2,21.913,22838,21.905,22.05,21.74
10/21/13,1315.8,68910,1316,1323.9,1312,22.278,27714,21.91,22.335,21.855
10/22/13,1342.6,146850,1315.5,1344.7,1309.5,22.79,43298,22.22,22.83,21.985
10/23/13,1334,91728,1340.1,1342.2,1328.5,22.617,25836,22.72,22.82,22.5
10/24/13,1350.3,121111,1332.5,1352.3,1330.2,22.822,30195,22.545,22.91,22.51
10/25/13,1352.5,109808,1346.9,1356.4,1335.3,22.639,34959,22.73,22.755,22.26
10/28/13,1352.2,105613,1352.7,1361.8,1346.1,22.538,26576,22.59,22.715,22.375
10/29/13,1345.5,119713,1352.6,1360.4,1339.8,22.492,29289,22.525,22.63,22.3
10/30/13,1349.3,N/A,1343.1,1349.3,1349.3,22.983,63,22.68,22.69,22.635
10/31/13,1323.7,141904,1341.7,1343,1318.7,21.867,50493,22.68,22.69,21.73
11/1/13,1313.2,127033,1323.1,1327.3,1305.6,21.837,34530,21.895,21.995,21.705
11/4/13,1314.7,71700,1313,1322.4,1310.8,21.7,20734,21.87,21.935,21.61
11/5/13,1308.1,93988,1313.9,1320.6,1305.2,21.636,23739,21.645,21.79,21.56
11/6/13,1317.8,88462,1312.3,1322,1308.9,21.768,30548,21.685,22.075,21.62
11/7/13,1308.5,179460,1317.5,1326,1296,21.657,53038,21.815,22.015,21.375
11/8/13,1284.6,171480,1307.8,1313.4,1280.5,21.317,48832,21.66,21.905,21.25
11/11/13,1281.1,86457,1288.3,1288.8,1278.1,21.282,26032,21.425,21.45,21.23
11/12/13,1271.2,129235,1281.4,1285.4,1260.5,20.778,53064,21.345,21.355,20.56
11/13/13,1268.4,118704,1265.3,1279.8,1265,20.442,64881,20.7,20.855,20.41
11/14/13,1286.3,146703,1281.4,1293.8,1277.3,20.722,51579,20.595,20.885,20.57
11/15/13,1287.4,82119,1287,1290.8,1279.6,20.727,26908,20.755,20.82,20.55
11/18/13,1272.3,100547,1288.9,1289.2,1269.2,20.357,46401,20.775,20.8,20.29
