2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:08,894.price-producer.INFO Today is 2023-10-02 at 07:40 PM
2023-10-02 19:40:08,894.price-producer.INFO Running on: posix Darwin 22.5.0
2023-10-02 19:40:08,894.price-producer.INFO Python version:  3.11.2
2023-10-02 19:40:08,894.price-producer.INFO Python path: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices/.venv
2023-10-02 19:40:08,894.price-producer.INFO Working dir: /Users/macbeth/Documents/Streaming Data/Module 7/streaming-07-gold-silver-prices
2023-10-02 19:40:08,894.price-producer.INFO ==================================================
2023-10-02 19:40:10,423.price-producer.INFO Offer to monitor RabbitMQ queues.
2023-10-02 19:40:10,588.price-producer.INFO Answer is y.
2023-10-02 19:40:10,641.price-producer.INFO Skipped header row
2023-10-02 19:40:10,641.price-producer.INFO [x] Sent ('8/19/13', '1377.1') to 01-gold
2023-10-02 19:40:10,641.price-producer.INFO [x] Sent ('8/19/13', '23.33') to 02-silver
2023-10-02 19:40:40,649.price-producer.INFO [x] Sent ('8/20/13', '1364.9') to 01-gold
2023-10-02 19:40:40,650.price-producer.INFO [x] Sent ('8/20/13', '23.2') to 02-silver
2023-10-02 19:41:10,657.price-producer.INFO [x] Sent ('8/21/13', '1371') to 01-gold
2023-10-02 19:41:10,658.price-producer.INFO [x] Sent ('8/21/13', '23.02') to 02-silver
2023-10-02 19:41:40,663.price-producer.INFO [x] Sent ('8/22/13', '1365.6') to 01-gold
2023-10-02 19:41:40,664.price-producer.INFO [x] Sent ('8/22/13', '22.92') to 02-silver
2023-10-02 19:42:10,670.price-producer.INFO [x] Sent ('8/23/13', '1376.1') to 01-gold
2023-10-02 19:42:10,671.price-producer.INFO [x] Sent ('8/23/13', '23.235') to 02-silver
2023-10-02 19:42:40,677.price-producer.INFO [x] Sent ('8/26/13', '1394.8') to 01-gold
2023-10-02 19:42:40,679.price-producer.INFO [x] Sent ('8/26/13', '24.02') to 02-silver
2023-10-02 19:43:10,685.price-producer.INFO [x] Sent ('8/27/13', '1419') to 01-gold
2023-10-02 19:43:10,687.price-producer.INFO [x] Sent ('8/27/13', '24.4') to 02-silver
2023-10-02 19:43:40,694.price-producer.INFO [x] Sent ('8/28/13', '1423') to 01-gold
2023-10-02 19:43:40,695.price-producer.INFO [x] Sent ('8/28/13', '24.55') to 02-silver
2023-10-02 19:44:10,701.price-producer.INFO [x] Sent ('8/29/13', '1418.2') to 01-gold
2023-10-02 19:44:10,702.price-producer.INFO [x] Sent ('8/29/13', '23.97') to 02-silver
2023-10-02 19:44:40,709.price-producer.INFO [x] Sent ('8/30/13', '1407.5') to 01-gold
2023-10-02 19:44:40,710.price-producer.INFO [x] Sent ('8/30/13', '23.895') to 02-silver
2023-10-02 19:45:10,716.price-producer.INFO [x] Sent ('9/2/13', '1396.1') to 01-gold
2023-10-02 19:45:10,717.price-producer.INFO [x] Sent ('9/2/13', '23.513') to 02-silver
2023-10-02 19:45:40,727.price-producer.INFO [x] Sent ('9/3/13', '1392') to 01-gold
2023-10-02 19:45:40,729.price-producer.INFO [x] Sent ('9/3/13', '24.365') to 02-silver
2023-10-02 19:46:10,735.price-producer.INFO [x] Sent ('9/4/13', '1411.6') to 01-gold
2023-10-02 19:46:10,736.price-producer.INFO [x] Sent ('9/4/13', '24.325') to 02-silver
2023-10-02 19:46:40,740.price-producer.INFO [x] Sent ('9/5/13', '1391.2') to 01-gold
2023-10-02 19:46:40,742.price-producer.INFO [x] Sent ('9/5/13', '23.51') to 02-silver
2023-10-02 19:47:10,748.price-producer.INFO [x] Sent ('9/6/13', '1366.7') to 01-gold
2023-10-02 19:47:10,749.price-producer.INFO [x] Sent ('9/6/13', '23.875') to 02-silver
2023-10-02 19:47:40,755.price-producer.INFO [x] Sent ('9/9/13', '1391.1') to 01-gold
2023-10-02 19:47:40,757.price-producer.INFO [x] Sent ('9/9/13', '23.835') to 02-silver
2023-10-02 19:48:10,762.price-producer.INFO [x] Sent ('9/10/13', '1387.1') to 01-gold
2023-10-02 19:48:10,762.price-producer.INFO [x] Sent ('9/10/13', '23.74') to 02-silver
2023-10-02 19:48:40,769.price-producer.INFO [x] Sent ('9/11/13', '1364.2') to 01-gold
2023-10-02 19:48:40,769.price-producer.INFO [x] Sent ('9/11/13', '22.985') to 02-silver
2023-10-02 19:49:10,776.price-producer.INFO [x] Sent ('9/12/13', '1329.8') to 01-gold
2023-10-02 19:49:10,776.price-producer.INFO [x] Sent ('9/12/13', '23.22') to 02-silver
2023-10-02 19:49:40,782.price-producer.INFO [x] Sent ('9/13/13', '1318') to 01-gold
2023-10-02 19:49:40,783.price-producer.INFO [x] Sent ('9/13/13', '21.88') to 02-silver
2023-10-02 19:50:10,789.price-producer.INFO [x] Sent ('9/16/13', '1333.5') to 01-gold
2023-10-02 19:50:10,790.price-producer.INFO [x] Sent ('9/16/13', '22.3') to 02-silver
2023-10-02 19:50:40,796.price-producer.INFO [x] Sent ('9/17/13', '1313.6') to 01-gold
2023-10-02 19:50:40,797.price-producer.INFO [x] Sent ('9/17/13', '21.83') to 02-silver
2023-10-02 19:51:10,804.price-producer.INFO [x] Sent ('9/18/13', '1294') to 01-gold
2023-10-02 19:51:10,804.price-producer.INFO [x] Sent ('9/18/13', '21.77') to 02-silver
2023-10-02 19:51:40,811.price-producer.INFO [x] Sent ('9/19/13', '1370.2') to 01-gold
2023-10-02 19:51:40,811.price-producer.INFO [x] Sent ('9/19/13', '22.965') to 02-silver
2023-10-02 19:52:10,818.price-producer.INFO [x] Sent ('9/20/13', '1366.2') to 01-gold
2023-10-02 19:52:10,818.price-producer.INFO [x] Sent ('9/20/13', '23.08') to 02-silver
2023-10-02 19:52:40,820.price-producer.INFO [x] Sent ('9/23/13', '1327') to 01-gold
2023-10-02 19:52:40,821.price-producer.INFO [x] Sent ('9/23/13', '21.857') to 02-silver
2023-10-02 19:53:10,827.price-producer.INFO [x] Sent ('9/24/13', '1321.5') to 01-gold
2023-10-02 19:53:10,828.price-producer.INFO [x] Sent ('9/24/13', '21.586') to 02-silver
2023-10-02 19:53:40,834.price-producer.INFO [x] Sent ('9/25/13', '1323.5') to 01-gold
2023-10-02 19:53:40,835.price-producer.INFO [x] Sent ('9/25/13', '21.886') to 02-silver
2023-10-02 19:54:10,841.price-producer.INFO [x] Sent ('9/26/13', '1333.1') to 01-gold
2023-10-02 19:54:10,842.price-producer.INFO [x] Sent ('9/26/13', '21.805') to 02-silver
2023-10-02 19:54:40,848.price-producer.INFO [x] Sent ('9/27/13', '1323.7') to 01-gold
2023-10-02 19:54:40,849.price-producer.INFO [x] Sent ('9/27/13', '21.73') to 02-silver
2023-10-02 19:55:10,854.price-producer.INFO [x] Sent ('9/30/13', '1327.3') to 01-gold
2023-10-02 19:55:10,855.price-producer.INFO [x] Sent ('9/30/13', '21.71') to 02-silver
2023-10-02 19:55:40,862.price-producer.INFO [x] Sent ('10/1/13', '1328.2') to 01-gold
2023-10-02 19:55:40,864.price-producer.INFO [x] Sent ('10/1/13', '21.7') to 02-silver
2023-10-02 19:56:10,870.price-producer.INFO [x] Sent ('10/2/13', '1287.5') to 01-gold
2023-10-02 19:56:10,872.price-producer.INFO [x] Sent ('10/2/13', '21.897') to 02-silver
2023-10-02 19:56:40,877.price-producer.INFO [x] Sent ('10/3/13', '1316.5') to 01-gold
2023-10-02 19:56:40,877.price-producer.INFO [x] Sent ('10/3/13', '21.786') to 02-silver
2023-10-02 19:57:10,880.price-producer.INFO [x] Sent ('10/4/13', '1317.4') to 01-gold
2023-10-02 19:57:10,882.price-producer.INFO [x] Sent ('10/4/13', '21.735') to 02-silver
2023-10-02 19:57:40,888.price-producer.INFO [x] Sent ('10/7/13', '1312.3') to 01-gold
2023-10-02 19:57:40,890.price-producer.INFO [x] Sent ('10/7/13', '22.386') to 02-silver
2023-10-02 19:58:10,897.price-producer.INFO [x] Sent ('10/8/13', '1319.7') to 01-gold
2023-10-02 19:58:10,897.price-producer.INFO [x] Sent ('10/8/13', '22.385') to 02-silver
2023-10-02 19:58:40,903.price-producer.INFO [x] Sent ('10/9/13', '1304.5') to 01-gold
2023-10-02 19:58:40,905.price-producer.INFO [x] Sent ('10/9/13', '22.315') to 02-silver
2023-10-02 19:59:10,907.price-producer.INFO [x] Sent ('10/10/13', '1307') to 01-gold
2023-10-02 19:59:10,907.price-producer.INFO [x] Sent ('10/10/13', '21.91') to 02-silver
2023-10-02 19:59:40,912.price-producer.INFO [x] Sent ('10/11/13', '1268') to 01-gold
2023-10-02 19:59:40,912.price-producer.INFO [x] Sent ('10/11/13', '21.685') to 02-silver
2023-10-02 20:00:10,942.price-producer.INFO [x] Sent ('10/14/13', '1275.5') to 01-gold
2023-10-02 20:00:10,943.price-producer.INFO [x] Sent ('10/14/13', '21.39') to 02-silver
2023-10-02 20:00:40,954.price-producer.INFO [x] Sent ('10/15/13', '1273.6') to 01-gold
2023-10-02 20:00:40,954.price-producer.INFO [x] Sent ('10/15/13', '21.29') to 02-silver
2023-10-02 20:01:10,960.price-producer.INFO [x] Sent ('10/16/13', '1281.4') to 01-gold
2023-10-02 20:01:10,963.price-producer.INFO [x] Sent ('10/16/13', '21.365') to 02-silver
2023-10-02 20:01:40,969.price-producer.INFO [x] Sent ('10/17/13', '1314') to 01-gold
2023-10-02 20:01:40,970.price-producer.INFO [x] Sent ('10/17/13', '21.947') to 02-silver
2023-10-02 20:02:10,977.price-producer.INFO [x] Sent ('10/18/13', '1318.8') to 01-gold
2023-10-02 20:02:10,977.price-producer.INFO [x] Sent ('10/18/13', '21.905') to 02-silver
2023-10-02 20:02:40,984.price-producer.INFO [x] Sent ('10/21/13', '1316') to 01-gold
2023-10-02 20:02:40,984.price-producer.INFO [x] Sent ('10/21/13', '21.91') to 02-silver
2023-10-02 20:03:10,991.price-producer.INFO [x] Sent ('10/22/13', '1315.5') to 01-gold
2023-10-02 20:03:10,991.price-producer.INFO [x] Sent ('10/22/13', '22.22') to 02-silver
2023-10-02 20:03:40,998.price-producer.INFO [x] Sent ('10/23/13', '1340.1') to 01-gold
2023-10-02 20:03:40,999.price-producer.INFO [x] Sent ('10/23/13', '22.72') to 02-silver
2023-10-02 20:04:11,005.price-producer.INFO [x] Sent ('10/24/13', '1332.5') to 01-gold
2023-10-02 20:04:11,007.price-producer.INFO [x] Sent ('10/24/13', '22.545') to 02-silver
2023-10-02 20:04:41,014.price-producer.INFO [x] Sent ('10/25/13', '1346.9') to 01-gold
2023-10-02 20:04:41,015.price-producer.INFO [x] Sent ('10/25/13', '22.73') to 02-silver
2023-10-02 20:05:11,022.price-producer.INFO [x] Sent ('10/28/13', '1352.7') to 01-gold
2023-10-02 20:05:11,024.price-producer.INFO [x] Sent ('10/28/13', '22.59') to 02-silver
2023-10-02 20:05:41,030.price-producer.INFO [x] Sent ('10/29/13', '1352.6') to 01-gold
2023-10-02 20:05:41,032.price-producer.INFO [x] Sent ('10/29/13', '22.525') to 02-silver
2023-10-02 20:06:11,038.price-producer.INFO [x] Sent ('10/30/13', '1343.1') to 01-gold
2023-10-02 20:06:11,039.price-producer.INFO [x] Sent ('10/30/13', '22.68') to 02-silver
2023-10-02 20:06:41,046.price-producer.INFO [x] Sent ('10/31/13', '1341.7') to 01-gold
2023-10-02 20:06:41,046.price-producer.INFO [x] Sent ('10/31/13', '22.68') to 02-silver
2023-10-02 20:07:11,053.price-producer.INFO [x] Sent ('11/1/13', '1323.1') to 01-gold
2023-10-02 20:07:11,054.price-producer.INFO [x] Sent ('11/1/13', '21.895') to 02-silver
2023-10-02 20:07:41,057.price-producer.INFO [x] Sent ('11/4/13', '1313') to 01-gold
2023-10-02 20:07:41,058.price-producer.INFO [x] Sent ('11/4/13', '21.87') to 02-silver
2023-10-02 20:08:11,065.price-producer.INFO [x] Sent ('11/5/13', '1313.9') to 01-gold
2023-10-02 20:08:11,066.price-producer.INFO [x] Sent ('11/5/13', '21.645') to 02-silver
2023-10-02 20:08:41,068.price-producer.INFO [x] Sent ('11/6/13', '1312.3') to 01-gold
2023-10-02 20:08:41,069.price-producer.INFO [x] Sent ('11/6/13', '21.685') to 02-silver
2023-10-02 20:09:11,075.price-producer.INFO [x] Sent ('11/7/13', '1317.5') to 01-gold
2023-10-02 20:09:11,076.price-producer.INFO [x] Sent ('11/7/13', '21.815') to 02-silver
2023-10-02 20:09:41,083.price-producer.INFO [x] Sent ('11/8/13', '1307.8') to 01-gold
2023-10-02 20:09:41,084.price-producer.INFO [x] Sent ('11/8/13', '21.66') to 02-silver
2023-10-02 20:10:11,090.price-producer.INFO [x] Sent ('11/11/13', '1288.3') to 01-gold
2023-10-02 20:10:11,091.price-producer.INFO [x] Sent ('11/11/13', '21.425') to 02-silver
2023-10-02 20:10:41,100.price-producer.INFO [x] Sent ('11/12/13', '1281.4') to 01-gold
2023-10-02 20:10:41,101.price-producer.INFO [x] Sent ('11/12/13', '21.345') to 02-silver
2023-10-02 20:11:11,113.price-producer.INFO [x] Sent ('11/13/13', '1265.3') to 01-gold
2023-10-02 20:11:11,113.price-producer.INFO [x] Sent ('11/13/13', '20.7') to 02-silver
2023-10-02 20:11:41,125.price-producer.INFO [x] Sent ('11/14/13', '1281.4') to 01-gold
2023-10-02 20:11:41,126.price-producer.INFO [x] Sent ('11/14/13', '20.595') to 02-silver
2023-10-02 20:12:11,129.price-producer.INFO [x] Sent ('11/15/13', '1287') to 01-gold
2023-10-02 20:12:11,131.price-producer.INFO [x] Sent ('11/15/13', '20.755') to 02-silver
2023-10-02 20:12:41,138.price-producer.INFO [x] Sent ('11/18/13', '1288.9') to 01-gold
2023-10-02 20:12:41,138.price-producer.INFO [x] Sent ('11/18/13', '20.775') to 02-silver
2023-10-02 20:13:11,145.price-producer.INFO [x] Sent ('11/19/13', '1275') to 01-gold
2023-10-02 20:13:11,146.price-producer.INFO [x] Sent ('11/19/13', '20.395') to 02-silver
2023-10-02 20:13:41,152.price-producer.INFO [x] Sent ('11/20/13', '1249.4') to 01-gold
2023-10-02 20:13:41,154.price-producer.INFO [x] Sent ('11/20/13', '20.345') to 02-silver
2023-10-02 20:14:11,158.price-producer.INFO [x] Sent ('11/21/13', '1241.8') to 01-gold
2023-10-02 20:14:11,159.price-producer.INFO [x] Sent ('11/21/13', '19.925') to 02-silver
2023-10-02 20:14:41,165.price-producer.INFO [x] Sent ('11/22/13', '1242.3') to 01-gold
2023-10-02 20:14:41,166.price-producer.INFO [x] Sent ('11/22/13', '20.02') to 02-silver
2023-10-02 20:15:11,173.price-producer.INFO [x] Sent ('11/25/13', '1230.8') to 01-gold
